	x	y	z	data	sample	cluster_number	consensus_lca	consensus_weighted	consensus_kmode	cross_method_entropy	SEDR_config_default_label	BANKSY_config_default_label	SpaceFlow_config_default_label	precast_config_default_label	CellCharter_config_default_label	seurat_config_default_label
1019171907102320403-1	6531.963068288949	-4724.241927683338	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	9	4	12	1.43065120828796	15	7	3	1	9	3
1019171907102300501	5837.638538877868	-5500.618624710126	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.67623493913473	3	6	6	1	9	3
1019171907102530165	6120.972034264796	-5560.760243848359	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	15	5	15	1.37760836093005	14	6	6	7	5	3
1019171907102070220-1	5055.197351284315	-5270.129961511604	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.59921858573918	3	6	6	1	9	12
1019171907102520104	6031.373134314442	-5582.951569450373	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.67623493913473	3	6	6	1	9	3
1019171907102310643-1	6091.872141086388	-5339.952026395793	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.67623493913473	3	6	6	1	9	3
1019171907102070278-1	5022.282814633411	-5380.265755215748	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	8	6	12	1.59921858573918	3	6	6	1	9	12
1019171907102080092	5360.305160251606	-4782.005326135828	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	14	10	14	1.76137254309573	1	11	15	14	17	6
1019171907102090666	5861.497387437103	-4844.612184107021	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	14	10	14	1.57827049498438	9	11	15	14	17	6
1019171907102500273	5231.254814777295	-6647.269815876423	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	2	14	1	1.59921858573918	7	14	16	14	4	6
1019171907102080101	5347.000348683218	-4794.251995420306	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	14	10	14	1.76137254309573	1	11	15	14	17	6
